timestamp,close,sod,sod_1,sod_2
2017-10-05T00:00+02:00[Europe/Amsterdam],143.300,90.873,92.5927,94.4707
2017-10-06T00:00+02:00[Europe/Amsterdam],142.850,89.6825,91.182,92.8603
2017-10-09T00:00+02:00[Europe/Amsterdam],144.200,93.254,91.270,91.6817
2017-10-10T00:00+02:00[Europe/Amsterdam],143.650,91.799,91.5787,91.3437
2017-10-11T00:00+02:00[Europe/Amsterdam],144.150,93.1215,92.725,91.858
2017-10-12T00:00+02:00[Europe/Amsterdam],144.800,94.8415,93.2543,92.5193
2017-10-13T00:00+02:00[Europe/Amsterdam],146.950,99.1005,95.688,93.889
2017-10-16T00:00+02:00[Europe/Amsterdam],148.300,97.448,97.130,95.3573
2017-10-17T00:00+02:00[Europe/Amsterdam],148.5,97.254,97.9343,96.9173
2017-10-18T00:00+02:00[Europe/Amsterdam],143.350,85.469,93.3903,96.1513
2017-10-19T00:00+02:00[Europe/Amsterdam],146.400,92.4485,91.724,94.3497
2017-10-20T00:00+02:00[Europe/Amsterdam],147.700,95.1575,91.0253,92.0463
2017-10-23T00:00+02:00[Europe/Amsterdam],148.900,97.3745,94.9937,92.581
2017-10-24T00:00+02:00[Europe/Amsterdam],150.75,97.5875,96.7067,94.242
2017-10-25T00:00+02:00[Europe/Amsterdam],149.900,95.7235,96.8953,96.1983
2017-10-26T00:00+02:00[Europe/Amsterdam],150.100,96.1625,96.4913,96.6977
2017-10-27T00:00+02:00[Europe/Amsterdam],152.400,99.158,97.0147,96.8007
